timestamp,mint,ticker,peakPct,peakAtSec,exitPct,holdSec,exitReason
2026-03-15T23:00:39.816Z,GJGBAVVoPXVvoJY3,BORG,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:00:47.842Z,7ePRMs4VSe7Regj6,MBGTA,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:00:53.509Z,HMYsaBFq2CJbkzUF,NetYah,-1.8,2.5,-6.1,4,T5BAIL -2.1% @4s (peak -1.8%)
2026-03-15T23:00:59.170Z,Dt9cJ5cyCMxzRKq7,HODL,-1.1,3.3,-6.9,4,T5BAIL -3.0% @4s (peak -1.1%)
2026-03-15T23:01:05.270Z,zMy91MJv1tXPgNqF,Asuka,-2.0,0.6,-25.8,7,T5BAIL -22.6% @7s (peak -2.0%)
2026-03-15T23:01:05.903Z,GpZEQp8e8xR93ggV,MLP,13.8,3.8,-12.5,55,BE -8.8% (peak 13.8%) [stale]
2026-03-15T23:01:05.907Z,FABPmdeSJbRFRfTP,ルクマ,42.4,8.6,-54.1,22,TRAIL -66% (peak 42.4%) [stale]
2026-03-15T23:01:09.916Z,CjsdWWQ9wpbmWwwR,CLT,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:01:12.048Z,8mB5XQiXbGgRi2Kz,JEFFERUS,-1.9,1.9,-24.6,5,T5BAIL -21.4% @5s (peak -1.9%)
2026-03-15T23:01:17.938Z,2h9rSzsZq6LGhXmA,JWI,-2.0,0.4,-49.6,10,SL -47.5% [stale]
2026-03-15T23:01:19.940Z,ADfqDBoWLc9mdHDu,JEFFERUS,-2.0,1.4,-42.9,10,SL -40.4% [stale]
2026-03-15T23:01:23.422Z,6uRRqXuJxZUdMvZV,Dindim,-2.0,4.4,-14.1,4,T5BAIL -10.5% @4s (peak -2.0%)
2026-03-15T23:01:25.958Z,5nztAkqopSxhpjNa,YAKU,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T23:01:29.966Z,4d5irHdJTiCZTENs,CW,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:01:37.500Z,BC3ecTfFsYqQoyHX,JACKPOT,-1.9,1.6,-6.7,5,T5BAIL -2.7% @5s (peak -1.9%)
2026-03-15T23:01:49.235Z,GTYs15d5zkmXwmWb,CLAWSEUM,-2.0,1.9,-19.6,5,T5BAIL -16.2% @5s (peak -2.0%)
2026-03-15T23:01:58.049Z,CbuxCiQC8NdydeiQ,WASB,-1.8,8.8,-22.3,20,SL -19.0% [stale]
2026-03-15T23:01:58.050Z,GykpjnBvhN467GnQ,MoonNigga,-0.0,0.4,-4.1,20,STALE_FLAT
2026-03-15T23:02:00.061Z,BZD7CBbuVNxDREBh,CBIF,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T23:02:00.066Z,4UyY4GHYeR1cmffq,JEFFERUS,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:02:04.073Z,HCKBhzTX7SEW5tw1,MLP,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T23:02:16.108Z,DcM7YwewZULrrJhY,ODIN,-2.0,2.1,-10.0,12,STALE_FEED
2026-03-15T23:02:22.329Z,4U3Rv9CZ4KJBAHtB,FUCKER,-2.0,1.1,-6.1,5,T5BAIL -2.2% @5s (peak -2.0%)
2026-03-15T23:02:24.132Z,9c2SiWM6VUoHLBaR,SALT ,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:02:26.135Z,8PCZ9TE4yvsct9Hj,OSCAR,25.1,1.9,-27.3,24,TRAIL -39% (peak 25.1%) [stale]
2026-03-15T23:02:33.224Z,5kGHRS8Pfinfmuvb,ODIN,4.8,0.1,-31.3,4,T5BAIL -28.4% @4s (peak 4.8%)
2026-03-15T23:02:38.167Z,3AdkTNz23mpvqQpG,GOAT,49.3,11.7,-6.3,56,STALE_FLAT
2026-03-15T23:02:52.212Z,Emyfk7dtDVebNTjT,FACELESS,27.6,0.1,-31.8,21,TRAIL -44% (peak 27.6%) [stale]
2026-03-15T23:02:56.226Z,AekfddJ4Ueq9CdUW,ルクマ,10.8,6.0,-54.1,24,BE -52.1% (peak 10.8%) [stale]
2026-03-15T23:03:00.237Z,DBZa7SXm7cLtF41i,STEAK,5.7,6.2,-39.0,16,BE -36.4% (peak 5.7%) [stale]
2026-03-15T23:03:10.267Z,Bg5TpAPyrwTcH4N8,🐼,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:03:12.526Z,9LS52odwoqP9pKPD,MOSSAD,1.9,0.0,-9.3,4,T5BAIL -5.5% @4s (peak 1.9%)
2026-03-15T23:03:13.356Z,2KrRP4yBvJaVUUjb,MOSSAD,401.6,23.4,381.6,23,GRADUATED 80SOL
2026-03-15T23:03:15.300Z,HV5pV7U6tg6HdqWF,Bull,-2.0,5.8,-11.7,6,T5BAIL -7.9% @6s (peak -2.0%)
2026-03-15T23:03:19.002Z,CqZb8ze8AR54CEed,Degen,-2.0,0.0,-5.9,2,GRADUATED 94SOL
2026-03-15T23:03:22.302Z,FZ7qx8WJfGEDXq8k,PENGUIN,-2.0,2.1,-11.9,13,STALE_FEED
2026-03-15T23:03:22.307Z,9ttoVnrkfX8Nthh8,MoonNigga,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:03:24.307Z,DRbLfCvAdBkiHd7P,Buckley,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:03:28.318Z,7UTvS8JjRvRRpDLU,Pup,4.1,0.4,-11.9,1297,TIMEOUT -8.2%
2026-03-15T23:03:32.333Z,BhFu3ovyRwagDWyB,JEFFERUS,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T23:03:36.353Z,CfNxY1m7DtKiayMC,YTEST,-1.5,3.4,-6.0,19,STALE_FLAT
2026-03-15T23:03:50.396Z,CPAbhqT8GucbjNhz,ルクマ,14.2,5.8,-54.7,15,BE -52.7% (peak 14.2%) [stale]
2026-03-15T23:04:07.716Z,2KhPoPmg2rjbJoDr,RABBAI,-0.6,1.1,-16.2,5,T5BAIL -12.7% @5s (peak -0.6%)
2026-03-15T23:04:10.452Z,88KGASag21PKKJhg,CIW,-2.0,0.0,-5.9,6,STALE_FEED
