timestamp,devWallet,ticker,outcome,pnlSol,peakPct,launches,dead,alive,tier
2026-03-16T04:05:07.466Z,3xG5K213fUoWTVqurv7jvvfmE3PgMCxkzmo8NEWCvYma,ATO,dead,-0.0265,-1.9,5,1,0,B
2026-03-16T04:06:10.721Z,BGiCazfdKgVq3M8MHpgdPz5wufAtYH2Qpwn3ppCA31pj,gura,alive,0.0065,21.5,1,0,0,B
2026-03-16T04:07:05.135Z,92JGZAP6HXYci1njtoKdDoYf7KJ4YriDM8s2unX5D87R,SIX,dead,-0.0201,-1.9,1,0,0,B
2026-03-16T04:07:19.595Z,2A5jhvtmzVdo26kHqkRKFSeNDjoNcpVT4Fap9GrDtAFL,WeiWu,alive,0.0626,37.1,1,0,0,B
2026-03-16T04:11:28.777Z,2A5jhvtmzVdo26kHqkRKFSeNDjoNcpVT4Fap9GrDtAFL,WEIWU,alive,-0.0710,7.0,2,0,0,B
2026-03-16T04:14:10.469Z,8UntghqPGdFt4DApCF3p2fZ8XM18ysFPUm8iG5hKdAiW,UHI,alive,-0.0203,5.5,1,0,0,B
2026-03-16T04:16:03.743Z,DEVsZnwbqtjDyn5kJyvP4YFcfnqQdbS1u5jDyeFVy1fQ,SRM,alive,0.0356,34.2,13,0,0,B
2026-03-16T04:22:32.555Z,Fe5i9MriTnRYbDJiZeUn2isJsx6zQkanzw7HisZj4uJi,‎ ,dead,-0.0230,-2.0,1,0,0,B
2026-03-16T04:22:34.861Z,AJPkaCvcTAaH1xNkhx6bTSbVovqgEqXqcLoyRtGyAR6U,Xnut,dead,-0.0129,-0.4,1,0,0,B
2026-03-16T04:23:54.262Z,BBEqXxt9qjCEZ2ZazbXWBVrA4Si7cw4PQyMsqn1cJ683,Solana,dead,-0.0256,-2.0,5,0,0,B
2026-03-16T04:24:39.937Z,GsQM3cUihMGBpUD6YjBtYx8qmuNJjhSHH2Puv4qMRYVT,SLNDN,alive,-0.0083,13.7,1,0,0,B
2026-03-16T04:25:31.656Z,CRrhH1LrGmMxK9LnfQSjj7q69zHoaYANn9Ro7nPkTKwz,Banana,alive,0.0142,27.4,1,0,0,B
2026-03-16T04:26:04.697Z,8JMhmSdx4pg2w71CURYj7a7rWMPYVMEaTmcQrcTLoeJY,UNIGUY,dead,-0.0948,-0.4,1,0,0,B
2026-03-16T04:27:02.164Z,2VRuBqjQA5Cx4niv54aAQ2k5KtMooxmqYZBzeSCfTycN,Solmaxxing,alive,0.0146,29.5,19,1,1,B
2026-03-16T04:27:06.667Z,CRrhH1LrGmMxK9LnfQSjj7q69zHoaYANn9Ro7nPkTKwz,Banana,alive,0.0151,23.2,1,0,0,B
2026-03-16T04:27:22.748Z,4TGb4yXdopy1FYAYofSvDRxGoNDEzTzWcpyqgdtFpx7t,SUPER,dead,-0.0190,2.2,1,0,0,B
2026-03-16T04:27:43.500Z,C3xT8UgbM5xe4B3qj6175Ji68r3omBXyRyWjaRBZEPq6,pHAT,alive,-0.0153,10.8,1,0,0,B
2026-03-16T04:27:58.838Z,CRrhH1LrGmMxK9LnfQSjj7q69zHoaYANn9Ro7nPkTKwz,Banana,dead,-0.0214,0.6,1,0,0,B
2026-03-16T04:29:42.660Z,bwamJzztZsepfkteWRChggmXuiiCQvpLqPietdNfSXa,Salary,dead,-0.0245,-1.9,29,0,0,B
2026-03-16T04:30:27.160Z,3kH1HHe3rHzGkvA11xsgrBdHgqvGagKoTBgKcbsEKaK5,Steve,alive,0.0533,32.0,1,0,0,B
2026-03-16T04:32:25.913Z,G7NvZKjoVqBDWciSYtWWgUPB7DA1iJavdvH5jty2FAmM,COLOMBUS,dead,-0.0247,4.3,13,0,0,B
2026-03-16T04:32:41.399Z,GsQM3cUihMGBpUD6YjBtYx8qmuNJjhSHH2Puv4qMRYVT,EV1,dead,-0.0246,-2.0,2,0,0,B
2026-03-16T04:34:20.577Z,HVabKF8DXszhBL8GYmzX6JRCgYuQFGX73o2P9FSUoNvc,OG,dead,-0.0142,-1.4,10,1,5,A
2026-03-16T04:34:44.665Z,GsQM3cUihMGBpUD6YjBtYx8qmuNJjhSHH2Puv4qMRYVT,EV1,dead,-0.0172,-2.0,3,0,0,B
2026-03-16T04:36:41.577Z,DPNPVvoGdwNBY849ryx2JZzakWuWbDTfSUYr8aNfKLwA,◎,alive,-0.0086,6.8,1,0,0,B
2026-03-16T04:36:57.904Z,4sjrxarsj297ZPufGLjiFQnTM6SkzMpCaJ1D2PtBKyQz,boop,alive,0.0429,30.8,26,0,0,B
2026-03-16T04:38:35.663Z,HVabKF8DXszhBL8GYmzX6JRCgYuQFGX73o2P9FSUoNvc,PONZI,alive,-0.0068,5.3,11,1,5,A
2026-03-16T04:39:32.330Z,bwamJzztZsepfkteWRChggmXuiiCQvpLqPietdNfSXa,Bowhead,alive,0.0649,38.3,36,0,0,B
2026-03-16T04:43:29.181Z,CRrhH1LrGmMxK9LnfQSjj7q69zHoaYANn9Ro7nPkTKwz,Gymskin,alive,0.0060,20.6,2,0,0,B
2026-03-16T04:43:44.033Z,CRrhH1LrGmMxK9LnfQSjj7q69zHoaYANn9Ro7nPkTKwz,Gymskin,dead,-0.0139,-1.0,2,0,0,B
2026-03-16T04:44:18.564Z,HVabKF8DXszhBL8GYmzX6JRCgYuQFGX73o2P9FSUoNvc,Bowhead,dead,-0.0172,-1.5,12,1,5,A
2026-03-16T04:45:34.517Z,7kJj2y6hoqcSQoJyia3NrnSYktq4dxmm4a8tmP4WYfnM,UNIPEP,dead,-0.0149,-0.7,1,0,0,B
2026-03-16T04:45:59.200Z,933d9teuRi2hGnPCdgxejYwCqGmV4uPnWZkeGhRfWHED,eˣ,alive,-0.0118,9.5,1,0,0,B
2026-03-16T04:46:53.248Z,3z4p4P9qvbai3ZNAUco5VphKvbaNjtwVDPxvvhKjZPci,Bowhead,alive,-0.0069,7.8,1,0,0,B
2026-03-16T04:47:27.784Z,BNahnx13rLru9zxuWNGBD7vVv1pGQXB11Q7qeTyupdWf,HAMSTER,dead,-0.0247,2.4,1,0,0,B
2026-03-16T04:49:44.543Z,J6TDXvarvpBdPXTaTU8eJbtso1PUCYKGkVtMKUUY8iEa,hammy,alive,-0.0074,9.0,1,0,0,B
2026-03-16T04:51:34.863Z,8ZRyeWdgfR8uBH8poU5TueiViHAQKiMLqAB2vkdz3i6A,PsyopPepe,alive,-0.0048,26.8,1,0,0,B
2026-03-16T04:51:42.952Z,B7ExUfQddARMy9EY6WU5VikETysroXd3yx7TqHfPtkVv,FUG,alive,0.0553,34.4,10,0,1,B
